,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
0,US1ORCB0040,"CLATSKANIE 8.8 SW, OR US",46.0069167,-123.3245355,194.2
1,USR0000OMLL,"MILLER OREGON, OR US",46.0228,-123.2711,332.2
2,US1ORCB0041,"CLATSKANIE 6.1 W, OR US",46.1157,-123.3313,4.6
3,US1ORCB0013,"CLATSKANIE 3.0 NE, OR US",46.131337,-123.15711,44.5
4,USC00351643,"CLATSKANIE, OR US",46.1081,-123.2058,6.7
5,USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",45.59578,-122.60919,6.7
0,US1ILCK0393,"TINLEY PARK 1.2 WNW, IL US",41.58237,-87.82192,215.8
1,US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",42.077974,-87.983814,208.8
2,USC00115097,"LISLE MORTON ARBORETUM, IL US",41.81271,-88.07275,206.3
3,US1ILWL0173,"LOCKPORT 5.0 W, IL US",41.57996,-88.143802,192.9
4,US1ILCK0390,"ALSIP 0.9 E, IL US",41.6726,-87.7181,182.0
5,US1ILCK0430,"WORTH 0.3 S, IL US",41.682451,-87.792025,191.4
6,US1ILWL0058,"PLAINFIELD 3.0 ESE, IL US",41.603998,-88.149027,189.3
7,US1ILWL0179,"NEW LENOX 2.8 SE, IL US",41.48683,-87.94916,217.3
8,US1ILDP0132,"WHEATON 2.0 NNE, IL US",41.8798,-88.0863,241.4
9,US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784019,-88.016753,229.5
10,US1ILCK0032,"CHICAGO 6.4 NNE, IL US",41.926584,-87.656239,185.9
11,US1ILCK0395,"CHICAGO 6.8 NW NEIU PHYSICS, IL US",41.980278,-87.717083,180.7
12,US1ILCK0152,"CHICAGO RIDGE 0.2 WSW, IL US",41.701767,-87.781987,181.7
13,US1ILCK0394,"BURR RIDGE 0.5 SE, IL US",41.745055,-87.914698,212.4
14,US1ILWL0178,"MOKENA 2.1 SW, IL US",41.509032,-87.900852,215.8
15,US1ILCK0148,"OAK LAWN 1.9 SE, IL US",41.693577,-87.728993,182.3
16,USC00115763,"MONEE, IL US",41.4251,-87.75739,242.9
