,STATION,NAME,DATE,TMAX,TMIN
6576,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-01,52.0,45.0
6577,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-02,51.0,41.0
6578,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-03,57.0,46.0
6579,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-04,50.0,41.0
6580,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-05,48.0,42.0
6581,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-06,51.0,44.0
6582,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-07,51.0,44.0
6583,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-08,46.0,32.0
6584,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-09,42.0,31.0
6585,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-10,50.0,38.0
6586,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-11,48.0,41.0
6587,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-12,47.0,34.0
6588,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-13,38.0,32.0
6589,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-14,38.0,32.0
6590,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-15,44.0,33.0
6591,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-16,44.0,33.0
6592,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-17,40.0,31.0
6593,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-18,47.0,40.0
6594,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-19,54.0,45.0
6595,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-20,49.0,45.0
6596,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-21,48.0,44.0
6597,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-22,51.0,44.0
6598,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-23,52.0,50.0
6599,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-24,52.0,48.0
6600,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-25,50.0,47.0
6601,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-26,52.0,47.0
6602,USW00094225,"HOQUIAM BOWERMAN AIRPORT, WA US",2020-01-27,51.0,44.0
