"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-01",,"68","55"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-02",,"59","43"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-03",,"57","36"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-04",,"65","39"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-05",,"72","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-06",,"67","54"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-07",,"69","59"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-08",,"63","45"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-09",,"57","38"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-10",,"68","40"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-11",,"70","52"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-12",,"68","53"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-13",,"72","62"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-14",,"71","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-15",,"59","42"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-16",,"62","38"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-17",,"63","42"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-18",,"66","43"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-19",,"60","38"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-20",,"46","31"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-21",,"50","35"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-22",,"54","36"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-23",,"68","46"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-24",,"50","39"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-25",,"50","34"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-26",,"45","30"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-27",,"40","27"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-28",,"48","26"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-29",,"53","28"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-30",,"65","44"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-01-31",,"58","38"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-01",,"67","37"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-02",,"65","44"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-03",,"58","38"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-04",,"67","38"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-05",,"65","46"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-06",,"66","55"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-07",,"66","48"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-08",,"69","44"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-09",,"72","52"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-10",,"71","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-11",,"62","47"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-12",,"71","46"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-13",,"67","55"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-14",,"64","46"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-15",,"60","43"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-16",,"71","53"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-17",,"71","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-18",,"66","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-19",,"64","57"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-20",,"63","51"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-21",,"54","48"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-22",,"52","42"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-23",,"62","38"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-24",,"68","48"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-25",,"70","50"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-26",,"65","42"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-27",,"66","45"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-28",,"70","59"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-02-29",,"74","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-01",,"77","55"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-02",,"77","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-03",,"72","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-04",,"74","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-05",,"70","57"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-06",,"66","50"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-07",,"67","48"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-08",,"61","50"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-09",,"58","47"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-10",,"70","43"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-11",,"73","47"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-12",,"74","59"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-13",,"81","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-14",,"72","56"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-15",,"64","46"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-16",,"71","49"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-17",,"69","49"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-18",,"77","53"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-19",,"75","62"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-20",,"75","63"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-21",,"82","61"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-22",,"72","54"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-23",,"78","54"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-24",,"78","59"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-25",,"77","54"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-26",,"68","53"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-27",,"70","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-28",,"76","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-29",,"83","63"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-30",,"77","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-03-31",,"84","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-01",,"83","65"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-02",,"87","66"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-03",,"86","70"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-04",,"81","66"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-05",,"84","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-06",,"83","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-07",,"82","71"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-08",,"77","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-09",,"74","57"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-10",,"80","55"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-11",,"79","63"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-12",,"76","53"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-13",,"61","44"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-14",,"68","45"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-15",,"73","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-16",,"77","56"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-17",,"80","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-18",,"80","66"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-19",,"73","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-20",,"71","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-21",,"65","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-22",,"75","57"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-23",,"76","55"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-24",,"80","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-25",,"85","68"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-26",,"83","66"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-27",,"83","62"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-28",,"78","61"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-29",,"75","56"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-04-30",,"78","58"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-01",,"76","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-02",,"78","66"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-03",,"77","65"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-04",,"75","59"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-05",,"79","54"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-06",,"81","59"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-07",,"83","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-08",,"83","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-09",,"84","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-10",,"82","69"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-11",,"80","65"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-12",,"82","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-05-13",,"83","59"
