"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-01",,"30","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-02",,"39","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-03",,"44","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-04",,"46","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-05",,"37","21"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-06",,"36","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-07",,"42","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-08",,"47","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-09",,"42","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-10",,"37","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-11",,"42","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-12",,"32","19"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-13",,"31","14"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-14",,"45","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-15",,"53","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-16",,"57","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-17",,"55","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-18",,"36","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-19",,"37","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-20",,"39","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-21",,"36","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-22",,"42","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-01-23",,"50","28"
